"statistikkvariabel"	"region"	"2019 0-9 år"	"2019 10-19 år"	"2019 20-29 år"	"2019 30-39 år"	"2019 40-49 år"	"2019 50-59 år"	"2019 60-69 år"	"2019 70-79 år"	"2019 80-89 år"	"2019 90-99 år"	"2019 100 år eller eldre"
"Personer"	"K-0618 Hemsedal"	298	302	268	397	402	311	217	170	92	24	0
"Personer"	"K-0619 Ål"	436	627	508	474	592	650	629	445	237	72	1
"Personer"	"K-0620 Hol"	386	511	467	586	564	625	613	471	182	68	0
"Personer"	"K-0621 Sigdal"	316	453	301	349	489	518	516	338	162	48	0
"Personer"	"K-0622 Krødsherad"	255	234	208	292	290	306	323	217	91	23	0
"Personer"	"K-0623 Modum"	1488	1617	1551	1752	1852	1894	1845	1294	555	130	2
"Personer"	"K-0624 Øvre Eiker"	2182	2325	2373	2515	2728	2502	2115	1530	687	156	4
"Personer"	"K-0625 Nedre Eiker"	3000	3281	2850	3343	3844	3333	2538	1916	705	151	2
"Personer"	"K-0626 Lier"	3196	3421	2804	3438	4004	3689	2770	2103	770	173	5
"Personer"	"K-0627 Røyken"	2968	2996	2282	3029	3512	3172	2281	1709	587	95	4
"Personer"	"K-0628 Hurum"	923	1188	892	956	1438	1446	1256	1019	321	78	4
"Personer"	"K-0631 Flesberg"	300	337	290	317	344	361	349	261	109	26	0
"Personer"	"K-0632 Rollag"	129	162	161	143	164	191	216	143	83	26	1
"Personer"	"K-0633 Nore og Uvdal"	211	285	280	232	299	372	338	258	141	31	1
"Personer"	"K-0701 Horten"	2893	3318	3388	3150	3658	3821	3225	2543	1092	240	6
"Personer"	"K-0704 Tønsberg"	5045	5429	5880	5913	6333	6244	5173	3742	1790	418	9
"Personer"	"K-0710 Sandefjord"	6947	7915	7559	7706	8824	8698	7286	5426	2381	516	13
"Personer"	"K-0711 Svelvik"	611	812	734	741	1000	995	863	670	223	35	1
"Personer"	"K-0712 Larvik"	4923	5578	5166	5566	6356	6491	6223	4350	1946	497	11
"Personer"	"K-0713 Sande (Vestfold)"	1212	1244	1134	1225	1407	1319	1173	781	335	72	2
"Personer"	"K-0715 Holmestrand"	1541	1671	1536	1765	2095	2031	1765	1360	483	120	4
"Personer"	"K-0716 Re"	1165	1254	1239	1278	1392	1339	1032	689	266	75	1
"Personer"	"K-0729 Færder"	2829	3335	2758	2879	3495	3937	3526	2549	1094	293	5
"Personer"	"K-0805 Porsgrunn"	3751	4353	4570	4221	5074	4934	4373	3233	1363	343	9
"Personer"	"K-0806 Skien"	5963	6543	6527	6577	7509	7474	6588	4891	2065	496	12
"Personer"	"K-0807 Notodden"	1330	1487	1572	1411	1601	1735	1607	1210	556	170	3
"Personer"	"K-0811 Siljan"	228	317	233	273	335	320	285	205	106	24	3
"Personer"	"K-0814 Bamble"	1418	1803	1606	1496	1824	2022	1882	1457	479	101	1
"Personer"	"K-0815 Kragerø"	927	1188	1077	1051	1398	1455	1535	1190	475	109	1
"Personer"	"K-0817 Drangedal"	407	515	431	411	551	575	555	418	153	62	2
"Personer"	"K-0819 Nome"	646	766	747	659	871	953	873	658	270	93	2
"Personer"	"K-0821 Bø (Telemark)"	761	762	1270	841	807	712	656	543	224	54	0
"Personer"	"K-0822 Sauherad"	427	517	483	465	535	648	568	422	184	43	1
"Personer"	"K-0826 Tinn"	488	710	597	551	808	822	869	597	261	72	5
"Personer"	"K-0827 Hjartdal"	158	201	161	144	191	218	210	180	85	24	0
"Personer"	"K-0828 Seljord"	312	352	287	319	379	380	433	307	132	32	1
"Personer"	"K-0829 Kviteseid"	213	253	274	210	315	396	354	237	126	24	1
"Personer"	"K-0830 Nissedal"	181	156	145	154	191	214	212	143	63	17	0
"Personer"	"K-0831 Fyresdal"	124	170	144	116	176	182	169	137	55	13	0
"Personer"	"K-0833 Tokke"	214	262	260	188	275	350	333	202	112	31	1
"Personer"	"K-0834 Vinje"	392	424	466	417	461	512	486	371	153	38	3
"Personer"	"K-0901 Risør"	634	811	718	656	937	951	1017	768	279	75	2
"Personer"	"K-0904 Grimstad"	2841	3092	3352	2892	3220	2828	2365	1782	723	149	2
"Personer"	"K-0906 Arendal"	5033	5553	5099	5469	6278	6000	5547	3865	1566	368	7
"Personer"	"K-0911 Gjerstad"	235	300	270	238	374	346	319	244	99	26	3
"Personer"	"K-0912 Vegårshei"	248	288	235	231	294	313	222	151	86	24	1
"Personer"	"K-0914 Tvedestrand"	601	738	655	652	818	845	855	598	247	57	3
"Personer"	"K-0919 Froland"	764	780	737	786	847	726	589	434	153	28	1
"Personer"	"K-0926 Lillesand"	1409	1444	1195	1370	1467	1464	1272	938	351	79	1
"Personer"	"K-0928 Birkenes"	747	722	672	657	710	611	510	423	129	31	0
"Personer"	"K-0929 Åmli"	231	213	212	211	236	233	239	178	84	11	0
"Personer"	"K-0935 Iveland"	206	156	160	180	157	185	151	91	29	11	0
"Personer"	"K-0937 Evje og Hornnes"	449	468	413	471	449	435	434	344	131	44	0
"Personer"	"K-0938 Bygland"	114	141	125	124	167	149	195	116	49	12	0
"Personer"	"K-0940 Valle"	103	140	132	124	141	147	205	104	44	15	1
"Personer"	"K-0941 Bykle"	106	107	142	117	146	141	103	68	18	4	1
"Personer"	"K-1001 Kristiansand"	11154	11441	14658	12227	12163	11543	9075	6406	2929	678	8
"Personer"	"K-1002 Mandal"	1772	2171	1785	1824	2106	2089	1868	1319	563	157	5
"Personer"	"K-1003 Farsund"	1087	1307	1145	1082	1291	1200	1159	965	370	89	0
"Personer"	"K-1004 Flekkefjord"	1018	1163	1055	1028	1137	1241	1081	834	404	104	1
"Personer"	"K-1014 Vennesla"	1943	1847	2051	1993	1960	1860	1421	1030	431	94	0
"Personer"	"K-1017 Songdalen"	901	901	924	904	943	829	619	467	179	37	2
"Personer"	"K-1018 Søgne"	1412	1625	1409	1377	1567	1498	1230	886	332	65	2
"Personer"	"K-1021 Marnardal"	279	315	286	266	291	311	284	167	80	18	0
"Personer"	"K-1026 Åseral"	103	142	125	102	105	159	88	62	40	13	0
"Personer"	"K-1027 Audnedal"	242	260	199	232	234	212	181	138	67	15	0
"Personer"	"K-1029 Lindesnes"	653	630	583	596	596	608	621	464	153	47	2
"Personer"	"K-1032 Lyngdal"	1191	1313	1031	1063	1137	977	925	644	265	62	1
"Personer"	"K-1034 Hægebostad"	223	224	199	214	235	198	173	135	65	17	0
"Personer"	"K-1037 Kvinesdal"	751	777	765	681	769	844	665	499	239	56	2
"Personer"	"K-1046 Sirdal"	250	223	219	224	226	233	201	162	73	26	2
"Personer"	"K-1101 Eigersund"	1813	1941	1845	1826	1985	1903	1739	1146	508	123	1
"Personer"	"K-1102 Sandnes"	11029	10163	9974	12280	10901	9372	6953	4365	1795	405	9
"Personer"	"K-1103 Stavanger"	16475	16088	19345	20235	18946	16956	13139	8296	3609	917	31
"Personer"	"K-1106 Haugesund"	4160	4606	4864	5110	5478	4760	4051	2728	1175	308	10
"Personer"	"K-1111 Sokndal"	430	415	396	368	401	424	418	269	148	36	0
"Personer"	"K-1112 Lund"	424	431	397	362	382	419	394	237	129	36	2
"Personer"	"K-1114 Bjerkreim"	395	436	306	371	339	386	303	184	67	20	0
"Personer"	"K-1119 Hå"	2840	2634	2448	2712	2447	2148	1802	1170	497	114	2
"Personer"	"K-1120 Klepp"	2714	2729	2634	2795	2772	2344	1567	1253	456	90	0
"Personer"	"K-1121 Time"	2733	2527	2478	2707	2504	2204	1857	1144	535	104	2
"Personer"	"K-1122 Gjesdal"	1866	1647	1560	1814	1627	1489	1014	624	217	40	1
"Personer"	"K-1124 Sola"	3786	3422	3461	4058	3709	3421	2368	1535	674	147	1
"Personer"	"K-1127 Randaberg"	1516	1584	1450	1397	1507	1456	1029	710	343	60	1
"Personer"	"K-1129 Forsand"	157	183	110	130	150	184	136	83	49	11	0
"Personer"	"K-1130 Strand"	1759	1826	1577	1685	1726	1431	1301	898	421	95	1
"Personer"	"K-1133 Hjelmeland"	364	365	251	326	310	333	342	250	111	31	1
"Personer"	"K-1134 Suldal"	472	505	400	399	468	510	488	348	165	37	2
"Personer"	"K-1135 Sauda"	506	545	507	532	559	620	596	398	279	51	4
"Personer"	"K-1141 Finnøy"	432	391	359	443	331	395	402	251	119	25	2
"Personer"	"K-1142 Rennesøy"	702	733	574	597	722	639	447	291	114	26	2
"Personer"	"K-1144 Kvitsøy"	49	76	46	46	64	84	58	56	29	8	0
"Personer"	"K-1145 Bokn"	82	121	93	77	133	101	101	76	45	11	0
"Personer"	"K-1146 Tysvær"	1584	1613	1229	1489	1469	1292	1116	851	317	65	3
"Personer"	"K-1149 Karmøy"	5390	5649	5152	5357	5817	5296	4519	3273	1397	306	5
"Personer"	"K-1151 Utsira"	24	21	22	24	23	30	25	19	6	2	0
"Personer"	"K-1160 Vindafjord"	1113	1145	1077	1075	1096	1136	1009	641	345	103	3
"Personer"	"K-1201 Bergen"	31602	31175	46493	41778	37618	34558	26713	19369	9440	2390	54
"Personer"	"K-1211 Etne"	535	518	435	483	534	502	479	356	172	62	1
"Personer"	"K-1216 Sveio"	818	771	663	774	762	610	710	405	174	32	2
"Personer"	"K-1219 Bømlo"	1538	1755	1394	1507	1546	1473	1327	895	380	145	0
"Personer"	"K-1221 Stord"	2419	2457	2529	2293	2505	2387	1960	1391	612	142	4
"Personer"	"K-1222 Fitjar"	406	458	358	390	420	381	429	228	98	32	1
"Personer"	"K-1223 Tysnes"	329	310	319	305	297	358	407	324	158	39	0
"Personer"	"K-1224 Kvinnherad"	1389	1805	1438	1378	1698	1730	1635	1261	631	160	12
"Personer"	"K-1227 Jondal"	117	129	123	101	111	146	156	139	48	15	2
"Personer"	"K-1228 Odda"	630	753	783	742	793	992	893	670	370	115	4
"Personer"	"K-1231 Ullensvang"	333	446	312	349	435	455	390	359	183	53	5
"Personer"	"K-1232 Eidfjord"	92	96	108	85	107	145	127	84	49	13	0
"Personer"	"K-1233 Ulvik"	129	126	104	98	139	155	138	138	46	19	1
"Personer"	"K-1234 Granvin"	102	96	107	107	92	133	135	101	45	17	2
"Personer"	"K-1235 Voss"	1704	1816	1687	1772	1755	1840	1767	1301	759	200	5
"Personer"	"K-1238 Kvam"	975	1093	923	898	1055	1063	1095	795	411	126	7
"Personer"	"K-1241 Fusa"	388	604	380	389	514	490	519	354	176	43	4
"Personer"	"K-1242 Samnanger"	287	271	270	289	286	354	344	236	98	30	0
"Personer"	"K-1243 Os (Hordaland)"	3006	2769	2524	2975	2846	2397	2114	1485	565	121	2
"Personer"	"K-1244 Austevoll"	786	701	581	729	622	583	584	399	174	51	2
"Personer"	"K-1245 Sund"	999	938	817	1020	929	803	809	517	177	52	1
"Personer"	"K-1246 Fjell"	3574	3703	3428	3390	3867	3411	2462	1678	533	118	2
"Personer"	"K-1247 Askøy"	4317	4127	3237	4290	4388	3317	2786	1948	715	146	4
"Personer"	"K-1251 Vaksdal"	466	485	452	500	466	513	503	354	225	79	2
"Personer"	"K-1252 Modalen"	38	68	38	45	42	55	41	27	22	4	0
"Personer"	"K-1253 Osterøy"	1040	1050	1021	1008	1075	985	901	656	291	91	2
"Personer"	"K-1256 Meland"	1247	1169	927	1163	1134	952	846	494	198	55	2
"Personer"	"K-1259 Øygarden"	648	664	555	617	639	621	593	345	145	61	1
"Personer"	"K-1260 Radøy"	612	646	589	608	666	668	620	444	189	47	2
"Personer"	"K-1263 Lindås"	2008	2211	1775	1907	2241	1840	1871	1332	489	136	2
"Personer"	"K-1264 Austrheim"	329	371	283	341	382	387	353	307	108	26	0
"Personer"	"K-1265 Fedje"	49	81	51	42	69	80	87	57	31	13	2
"Personer"	"K-1266 Masfjorden"	209	203	184	166	181	233	235	174	98	28	0
"Personer"	"K-1401 Flora"	1344	1657	1492	1428	1546	1608	1403	866	400	101	7
"Personer"	"K-1411 Gulen"	235	287	286	239	266	329	286	243	114	34	3
"Personer"	"K-1412 Solund"	69	99	79	81	101	122	123	89	46	11	0
"Personer"	"K-1413 Hyllestad"	109	182	132	121	180	206	169	178	69	18	2
"Personer"	"K-1416 Høyanger"	391	534	481	370	493	640	520	396	197	68	1
